True Food Kitchen,33.5102068,-112.0272041,2.63772
Liberty Market,33.354768,-111.7898327,3.99517
Hula's Modern Tiki,33.5062078,-112.0739142,3.19974
Chino Bandido,33.626933,-112.100731,3.30093
La Bocca Urban Pizzeria + Wine Bar,33.4234408327431,-111.939622163773,3.62058
Cowboy Ciao,33.4991931,-111.927532,3.8226
Cherryblossom Noodle Cafe,33.5093372,-112.0608177,3.85762
Cornish Pasty Company,33.422728,-111.951494,3.3195
SanTan Brewing Company,33.3032329,-111.8423939,3.72478
La Grande Orange Pizzeria,33.502429,-111.995512,3.77842
Breakfast Club,33.500545,-111.9264093,2.77113
Zinburger,33.5102068,-112.0272041,1.96285
Delux,33.5100544,-112.0146409,4.22119
Orange Table,33.4922246302901,-111.922992467881,4.04302
Lo-Lo's Chicken & Waffles,33.4787159,-111.9255906,4.19483
Chelsea's Kitchen,33.5112348,-111.9955879,3.35719
Gallo Blanco,33.491112,-112.0791977,3.49849
Lo-Lo's Chicken & Waffles,33.4357027,-112.0737893,3.7293
The Vig,33.494489,-111.995106,4.2219
La Grande Orange Grocery,33.502312625663,-111.99575216742,3.96712
La Santisima Gourmet Taco Shop,33.469201,-112.047393,3.66354
Matt's Big Breakfast,33.4566960573784,-112.072327136993,4.1513
Pizzeria Bianco,33.449233,-112.065458,3.9168
Barrio Café,33.478848,-112.0478217,2.71904
Defalco's Italian Grocery,33.4740683,-111.9270326,3.15549
Olive & Ivy,33.5019817,-111.9276185,3.49578
Switch Restaurant & Wine Bar,33.477031,-112.073616,3.20018
Hanny's,33.449228,-112.072853,2.65819
The Parlor,33.5094461,-112.0403946,3.4577
Citizen Public House,33.498177,-111.92792,3.58515
Joe's Farm Grill,33.32106164479401,-111.723918914795,3.09474
Daily Dose,33.494238,-111.926461,3.56488
Cornish Pasty Company,33.3626997846837,-111.876051127911,4.3437
Joe's Real BBQ,33.355021,-111.789424,2.85945
Roka Akor,33.542787037923,-111.925143835533,3.69973
St Francis Restaurant,33.5092611,-112.0718179,4.53381
Cibo,33.4548476,-112.0800705,3.75864
Windsor,33.513697188158,-112.07341192283,3.30894
Roaring Fork,33.5086952779617,-111.927080154419,2.51857
Culinary Dropout,33.5020064299153,-111.928296378761,3.60917
Postino Arcadia,33.502191,-111.996292,3.90747
Four Peaks Brewing Co,33.4195384,-111.9159126,3.39249
Green,33.4537869019623,-111.927165985107,3.68588
The Arrogant Butcher,33.4473356,-112.0734239,3.03325
Postino Central,33.5126276,-112.0740912,4.7727
The Mission,33.4922696,-111.9245492,4.32872
Lux,33.5005719,-112.0741143,4.07543
FEZ,33.4916953,-112.0734977,3.14734
Casey Moore's Oyster House,33.420571,-111.942444,4.07332
Beckett's Table,33.4951414,-112.0012935,4.1365
